#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCfuneral.1;Your [From.GetRootRelation], [From.GetTitledFirstNameWithDynasty], has died, and now it falls to you to decide whether to make the funeral a big and special event, or just keep it a small and private one.;Votre [From.GetRootRelation], [From.GetTitledFirstNameWithDynasty], est mort(e), et maintenant il vous incombe de choisir entre de grandes funérailes publiques et une simple cérémonie privée.;;;Tu [From.GetRootRelation], [From.GetTitledFirstNameWithDynasty], ha muerto, ahora te corresponde elegir entre un grand funeral público o una simple ceremonia privada.;;;;;;;;;x
EVTOPTAfuneral.1;My [From.GetRootRelation] deserves to be honoured with a funeral;Mon(a) [From.GetRootRelation] mérite d'être honoré(e) par des funérailles;;;Mi [From.GetRootRelation] merece ser honrado con un funeral;;;;;;;;;x
EVTOPBfuneral.1;Just a small private funeral will suffice;De petites funérailles privées feront l'affaire;;;Con un pequeño funeral privado bastará;;;;;;;;;x
EVTDESCfuneral.2;Who will you invite to the funeral of [FromFrom.GetTitledFirstNameWithDynasty]?;Qui allez-vous inviter aux funérailles de [FromFrom.GetTitledFirstNameWithDynasty]?;;;A quién invitarás al funeral de [FromFrom.GetTitledFirstNameWithDynasty]?;;;;;;;;;x
EVTOPTAfuneral.2;Just the [FromFrom.GetOnlyDynastyName] family will be invited;Seule la famille [FromFrom.GetOnlyDynastyName] sera invitée;;;Sólo la familia [FromFrom.GetOnlyDynastyName] será invitada;;;;;;;;;x
EVTOPTBfuneral.2;All the court of [Root.Capital.GetName] shall attend;Toute la cour de [Root.Capital.GetName] devra y assister;;;Toda la corte de [Root.Capital.GetName] deberá asistir;;;;;;;;;x
EVTOPTCfuneral.2;My vassals and court shall honour the family at the funeral;Mes bannerets et ma cour se doivent d'honorer la famille aux funérailles;;;Mis vasallos y mi corte deben honrar la familia en el funeral;;;;;;;;;x
EVTOPTDfuneral.2;All the Lords and Ladys of the realm are invited;Tous lesseigneurs et dames du royaume sont invités;;;Todos los Señores y damas del Reino serán invitados;;;;;;;;;x
TOOLTIPfuneral_invite;will be invited to the funeral of [FromFrom.GetTitledFirstNameWithDynasty];sera invité(e) aux funérailles de [FromFrom.GetTitledFirstNameWithDynasty];;;será invitado al funeral de [FromFrom.GetTitledFirstNameWithDynasty];;;;;;;;;x
TOOLTIPrealm_funeral_invite;The whole realm will be invited to the funeral of [FromFrom.GetTitledFirstNameWithDynasty];L'ensemble du royaume sera invité aux funérailles de [FromFrom.GetTitledFirstNameWithDynasty];;;El conjunto del Reino será invitado al funeral de [FromFrom.GetTitledFirstNameWithDynasty];;;;;;;;;x
