#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_north;The North;Le Nord;;;El Norte;;;;;;;;;x
e_north_adj;Northern;Nordien;;;Norteña;;;;;;;;;x
k_north;The North;Nord;The North;The North;El Norte;;;;;;;;;x
k_north_adj;Northern;Nordien;Northern;Northern;Norteña;;;;;;;;;x
e_first_men;The First Men;Premiers Hommes;;;Primeros Hombres;;;;;;;;;x
e_first_men_adj;First Men;Premiers Hommes;;;Primeros Hombres;;;;;;;;;x
d_northclans;North Clans;Clans du Nord;North Clans;North Clans;Clanes del Norte;;;;;;;;;x
C_NORTH_ROAD;North Road;Route du Nord;;;Camino del Norte;;;;;;;;;x
c_crowsedge;Crow's Edge;Frontière des Corbeaux;Crow's Edge;Crow's Edge;Linde del Cuervo;;;;;;;;;x
b_burley;Burley;Burley;;;Fortín de Burley;;;;;;;;;x
b_wullseat;Wull's Seat;Siège des Wull;Wull's Seat;Wull's Seat;Asiento de Wull;;;;;;;;;x
b_bucketon;Bucketon;Sceauville;Bucketon;Bucketon;Cubo Grande;;;;;;;;;x
b_coldcove;Cold Cove;Froide-Crique;Cold Cove;Cold Cove;Cala Fría;;;;;;;;;x
c_arrendell;Arrendell;Val d'Arren;Arrendell;Arrendell;Hondonada de Arren;;;;;;;;;x
b_wolfscroft;Wolfscroft;Grangeloup;Wolfscroft;Wolfscroft;Nudo de Knott;;;;;;;;;x
b_arwoodtower;Arwood Tower;Tour Arwood;Arwood Tower;Arwood Tower;El Mimbre;;;;;;;;;x
b_knottheartglen;Knottheart Glen;Vallée Knottcoeur;Knottheart Glen;Knottheart Glen;Hoya de Mimbre;;;;;;;;;x
c_pinesend;Pinesend;Cime-des-Pins;Pinesend;Pinesend;Fin del Pinar;;;;;;;;;x
b_firmont;Firmont;Firmont;Firmont;Firmont;Fin del Pinar;;;;;;;;;x
b_harclay;Harclay;Harclay;Harclay;Harclay;Fortín de Harclay;;;;;;;;;x
b_treesedge;Treesedge;Frontarbre;Treesedge;Treesedge;Últimospinos;;;;;;;;;x
b_highwoodhall;Highwood Hall;Hautarbre;Highwood Hall;Highwood Hall;Luna Menguante;;;;;;;;;x
c_shadowmoor;Shadowmoor;Lande Ombreuse;Shadowmoor;Shadowmoor;Páramo Sombrío;;;;;;;;;x
b_moorhold;Moorhold;Forlande;Moorhold;Moorhold;Fortín del Páramo;;;;;;;;;x
b_darkwood;Darkwood;Boisombre;Darkwood;Darkwood;Cardosaltos;;;;;;;;;x
b_highheath;High Heath;Grande Bruyère;High Heath;High Heath;Último Páramo;;;;;;;;;x
d_lasthearth;Last Hearth;Âtre-lès-Confins;Last Hearth;Last Hearth;Último Hogar;;;;;;;;;x
c_lasthearth;Last Hearth;Âtre-lès-Confins;Last Hearth;Last Hearth;Último Hogar;;;;;;;;;x
b_lasthearth;Last Hearth;Âtre-lès-Confins;Last Hearth;Last Hearth;Último Hogar;;;;;;;;;x
b_woodhaven;Woodhaven;Boyrefuge;Woodhaven;Woodhaven;Guarida del Gigante;;;;;;;;;x
b_fellber;Fellber;Fellber;Fellber;Fellber;Cadenas Rotas;;;;;;;;;x
b_northwold;Northwold;Plateau du Nord;Northwold;Northwold;Cerro del Norte;;;;;;;;;x
c_aylesvale;Highpoint;Hautpoint;;;Punto Álgido;;;;;;;;;x
b_aylestor;Highpoint;Hautpoint;;;Punto Álgido;;;;;;;;;x
b_lakehold;Whitewood;Boisblanc;;;Bosquenevado;;;;;;;;;x
b_deepcroft;Deepcroft;Grangebas;Deepcroft;Deepcroft;Colina Blanca;;;;;;;;;x
c_lastriver;Last River;Ultime;Last River;Last River;Río Último;;;;;;;;;x
b_northpost;Northpost;Poste-Nord;Northpost;Northpost;Posta del Norte;;;;;;;;;x
b_ashkeep;Ashkeep;Fort-Cendre;Ashkeep;Ashkeep;Fuerteúltimo;;;;;;;;;x
b_snowmelthall;Snowmelt Hall;Dégel;Snowmelt Hall;Snowmelt Hall;Torre Deshielo;;;;;;;;;x
c_lonelyhills;Lonely Hills;Collines Solitaires;Lonely Hills;Lonely Hills;Colinas Solitarias;;;;;;;;;x
b_loftyfort;Lofty Fort;Haut-Castel;Lofty Fort;Lofty Fort;Fuerte Altivo;;;;;;;;;x
b_longlaketown;Longlake Town;Granlac-Ville;Longlake Town;Longlake Town;Lagolargo;;;;;;;;;x
b_umberleigh;Umberleigh;Ombleleigh;Umberleigh;Umberleigh;Claro del Gigante;;;;;;;;;x
d_karhold;Karhold;Karhold;Karhold;Karhold;Bastión Kar;;;;;;;;;x
c_karhold;Karhold;Karhold;Karhold;Karhold;Bastión Kar;;;;;;;;;x
b_karhold;Karhold;Karhold;Karhold;Karhold;Bastión Kar;;;;;;;;;x
b_barbleton;Barbleton;Barbleville;Barbleton;Barbleton;Sol de Invierno;;;;;;;;;x
b_eastharbor;Eastharbor;Havre-Orient;Eastharbor;Eastharbor;Puerto de Karl;;;;;;;;;x
b_snowdell;Snowdell;Vallée des Neiges;Snowdell;Snowdell;Valnevado;;;;;;;;;x
b_greyclifftower;Greycliff Tower;Tour Rocgris;Greycliff Tower;Greycliff Tower;Torregrís;;;;;;;;;x
c_sealshore;Seal Shore;Baie des Phoques;Seal Shore;Seal Shore;Costa de las Focas;;;;;;;;;x
b_fisherhall;Fisherhall;Poiscaille;Fisherhall;Fisherhall;Torre del Pescador;;;;;;;;;x
b_wintrackpost;Wintrack Post;Pistiver;Wintrack Post;Wintrack Post;Posta del Invierno;;;;;;;;;x
c_eastmelt;Eastmelt;Fontes Orientales;Eastmelt;Eastmelt;Último Deshielo;;;;;;;;;x
b_karlspost;Karlspost;Karlposte;Karlspost;Karlspost;Posta de Karl;;;;;;;;;x
b_eastmelt;Eastmelt;Fontes Orientales;Eastmelt;Eastmelt;Derretimiento Oriental;;;;;;;;;x
