#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
blacksmith;Blacksmith;Forgeron;;;Herrero;;;;;;;;;x
blacksmith_desc;This character is capable of craftsmanship without equal and is one of the few skilled in the art of reforging Valyrian steel.;Ce personnage est capable de l'artisanat sans égal et est l'un des rares qui ont maîtrisé du l'art de reboiser l'acier valyrien.;;;Este personaje es capaz de artesanía sin igual y es uno de los pocos que domina el arte de reforjar el acero valyrian.;;;;;;;;;x
valyrian_steel;Valyrian Steel Sword;Epée en Acier Valyrien;;;Espada de Acero Valyrio;;;;;;;;;x
valyrian_steel_desc;Valyrian Steel is a magical alloy invented in Valyria and used to make weapons of unparalleled quality. The blade features a distinctive rippled pattern, a mark that the steel has been folded back on itself many thousands of times.;L'acier Valyrien est un alliage magique inventé à Valyria et utilisé pour fabriquer des armes de qualité inégalée. La lame présente un motif ondulé distinctif, la marque que l'acier a été repliée sur plusieurs milliers de fois.;;;El Acero Aalyrio es una aleación metálica mágica inventada en Valyria y usada en la fabricación de armas de calidad incomparable. La hoja cuenta con un patrón ondulado distintivo, una marca de que el acero se ha plegado en sí mismo muchos miles de veces.;;;;;;;;;x
dawn;Dawn;Aube;;;Albor;;;;;;;;;x
dawn_desc;The ancestral greastsword of House Dayne, said to be made from metal forged from the heart of a fallen star. Dawn is largely the reason for House Dayne's fame. Its origins are lost to legend, but it seems likely that the Daynes have carried it for thousands of years. The blade is as pale as milkglass, looking like no Valyrian blade, yet sharing all of the properties, being incredibly strong and sharp. Unlike other houses who have ancestral swords, House Dayne does not pass its sword from lord to lord. Only a knight of House Dayne who is worthy can wield it, with this wielder being traditionally known as the Sword of the Morning.;L'épée ancestrale de la Maison Dayne, dont on raconte qu'elle a été forgée à partir d’une étoile tombée du ciel. Aube est grande partie responsable de la gloire de la maison Dayne. On ne connaît pas exactement son origine, on ne se rappelle que ce qu'en disent les légendes mais il est probable que les Dayne la portent depuis des milliers d'années. La lame est pâle et ne ressemble à aucune épée en acier valyrien bien qu'elle partage toutes les qualités, étant incroyablement solide et acérée. Contrairement aux autres maisons qui possèdent une épée ancestrale, les Dayne ne se passe pas l'épée de seigneur en seigneur. Seul un chevalier de la maison Dayne qui en est digne porte Aube, ce porteur est traditionnellement connu sous le titre d’Epée du Matin.;;;La espada ancestral de la Casa Dayne, se dice que se forjo desde el metal de una estrella caída del cielo. Su portador se conoce tradicionalmente como la Espada del Amanecer.;;;;;;;;;x
TOOLTIPclaim_dawn_dishonorable;You must not be any tier of dishonorable\n;Vous ne devez pas être déshonorable\n;;;No debes ser deshonorable\n;;;;;;;;;x
EVTDESC250277;Your [From.GetRootRelation] [From.GetTitledFirstName] has died. By the laws of inheritance you will receive [From.GetValyrianSwordHerHis], use it with honour;Votre [From.GetRootRelation] [From.GetTitledFirstName] est décédé(e). Par les lois de l'héritage, vous recevez[From.GetValyrianSwordHerHis], usez-en avec honneur;;;Has heredado de [Root.GetTitledFirstName] su famosa espada de acero valyrio, úsala con honor;;;;;;;;;x
EVTDESC250277B;[From.GetTitledFirstName], the dishonourable blacksmith, has died. This means [Root.GetValyrianSwordOwned] has been returned to you, no longer in the hands of a thief. Use it with honour.;[From.GetTitledFirstName], le maudit forgeron, est mort. Cela veut dire que [Root.GetValyrianSwordOwned] vous est revenue. Usez-en avec honneur.;;;Has heredado de [Root.GetTitledFirstName] su famosa espada de acero valyrio, úsala con honor;;;;;;;;;x
EVTOPTA250277;It shall be done.;Il en sera ainsi.;;;Así se hará.;;;;;;;;;x
